State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights
Meghalaya,Rainy,High,45137,"Bus: 294 INR, Train: 974 INR, Car Rental: 2743 INR, Flight: 3240 INR",Local Cuisine: 1015 INR per day,Homestay: 2820 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Wildlife Safari",High,4.5/5,Summer,"Khasi, Garo",Very Safe,Yes,Festival
Mizoram,Pleasant,High,22606,"Car Rental: 1496 INR, Train: 1247 INR, Bus: 780 INR, Flight: 6313 INR",Local Cuisine: 876 INR per day,3-star: 4889 INR per night,"Vantawng Falls, Phawngpui National Park",River Rafting,Low,4.7/5,Winter,Mizo,Moderately Safe,Yes,Festival
Meghalaya,Sunny,Low,32612,"Flight: 6217 INR, Bus: 304 INR",Local Cuisine: 1502 INR per day,Homestay: 4758 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, Trekking, River Rafting",High,3.5/5,Winter,"Khasi, Garo",Very Safe,No,Local Traditions
Arunachal Pradesh,Pleasant,High,21339,"Bus: 567 INR, Flight: 4166 INR, Car Rental: 2705 INR, Train: 650 INR",Local Cuisine: 1623 INR per day,Homestay: 3736 INR per night,"Ziro Valley, Tawang Monastery",Wildlife Safari,High,3.6/5,Winter,"Hindi, English",Very Safe,Yes,Local Traditions
Assam,Chilly,High,10348,"Train: 917 INR, Car Rental: 1481 INR, Flight: 6426 INR, Bus: 483 INR",Local Cuisine: 1053 INR per day,Homestay: 1526 INR per night,"Majuli Island, Kaziranga National Park","Boating, Trekking, Cultural Tours",Moderate,4.9/5,Monsoon,Assamese,Moderately Safe,No,Festival
Nagaland,Pleasant,Low,12357,"Car Rental: 1094 INR, Bus: 807 INR",Local Cuisine: 1651 INR per day,Luxury Resort: 2780 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Boating, Wildlife Safari",Low,4.0/5,Monsoon,"English, Nagamese",Moderately Safe,Yes,Festival
Manipur,Rainy,Low,18958,"Bus: 237 INR, Car Rental: 1481 INR",Local Cuisine: 985 INR per day,Homestay: 4937 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, River Rafting, Trekking",Moderate,4.6/5,Winter,Manipuri,Safe for Solo Travelers,No,Art Exhibitions
Arunachal Pradesh,Chilly,Medium,18414,"Car Rental: 1814 INR, Bus: 839 INR",Local Cuisine: 795 INR per day,3-star: 4542 INR per night,"Ziro Valley, Tawang Monastery",Trekking,Moderate,4.9/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Festival
Arunachal Pradesh,Sunny,Low,46374,"Bus: 528 INR, Flight: 5084 INR, Car Rental: 2900 INR, Train: 1553 INR",Local Cuisine: 884 INR per day,Homestay: 1876 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Boating, Wildlife Safari",High,4.9/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Festival
Meghalaya,Sunny,Low,20892,"Bus: 472 INR, Car Rental: 2186 INR",Local Cuisine: 695 INR per day,Homestay: 1719 INR per night,"Living Root Bridges, Cherrapunji","Trekking, Cultural Tours",Moderate,4.1/5,Summer,"Khasi, Garo",Moderately Safe,No,Festival
Nagaland,Rainy,Medium,29751,"Bus: 714 INR, Train: 1216 INR, Car Rental: 1172 INR, Flight: 4057 INR",Local Cuisine: 1769 INR per day,Luxury Resort: 1271 INR per night,"Dzükou Valley, Kohima War Cemetery","Boating, Cultural Tours, River Rafting",Low,3.7/5,Monsoon,"English, Nagamese",Moderately Safe,No,Festival
Assam,Pleasant,High,28687,"Bus: 916 INR, Car Rental: 2077 INR, Train: 1819 INR",Local Cuisine: 1104 INR per day,Homestay: 4286 INR per night,"Kaziranga National Park, Majuli Island",Boating,Moderate,3.9/5,Monsoon,Assamese,Moderately Safe,Yes,Local Traditions
Meghalaya,Sunny,Medium,21776,"Car Rental: 2922 INR, Flight: 3688 INR, Bus: 687 INR, Train: 1177 INR",Local Cuisine: 1378 INR per day,Homestay: 1122 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Wildlife Safari",Low,3.6/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,Yes,Festival
Meghalaya,Sunny,Medium,8296,"Bus: 689 INR, Train: 1446 INR, Flight: 4827 INR",Local Cuisine: 876 INR per day,3-star: 3418 INR per night,"Cherrapunji, Living Root Bridges","Wildlife Safari, Trekking, Cultural Tours",Low,3.6/5,Summer,"Khasi, Garo",Safe for Solo Travelers,No,Local Traditions
Meghalaya,Sunny,High,17338,"Bus: 290 INR, Flight: 6010 INR, Train: 1936 INR, Car Rental: 1149 INR",Local Cuisine: 745 INR per day,Homestay: 3491 INR per night,"Cherrapunji, Living Root Bridges","Wildlife Safari, Trekking",Moderate,4.1/5,Monsoon,"Khasi, Garo",Very Safe,No,Local Traditions
Meghalaya,Rainy,High,11610,"Bus: 484 INR, Train: 1484 INR",Local Cuisine: 1158 INR per day,Luxury Resort: 3507 INR per night,"Living Root Bridges, Cherrapunji","Trekking, River Rafting",High,4.6/5,Monsoon,"Khasi, Garo",Very Safe,No,Local Traditions
Assam,Chilly,High,13711,"Bus: 502 INR, Car Rental: 1304 INR",Local Cuisine: 1441 INR per day,3-star: 3559 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Trekking, River Rafting",Low,4.5/5,Summer,Assamese,Very Safe,Yes,Local Traditions
Nagaland,Pleasant,High,9242,"Flight: 5965 INR, Train: 1289 INR, Bus: 733 INR, Car Rental: 2146 INR",Local Cuisine: 1892 INR per day,3-star: 2018 INR per night,"Dzükou Valley, Kohima War Cemetery","Boating, Wildlife Safari",Moderate,4.0/5,Winter,"English, Nagamese",Moderately Safe,Yes,Art Exhibitions
Manipur,Chilly,Medium,44187,"Train: 656 INR, Flight: 6915 INR, Bus: 566 INR",Local Cuisine: 1743 INR per day,Homestay: 2276 INR per night,"Loktak Lake, Kangla Fort","Wildlife Safari, Cultural Tours",Low,4.4/5,Winter,Manipuri,Safe for Solo Travelers,No,Local Traditions
Assam,Chilly,Low,40029,"Flight: 6817 INR, Car Rental: 1511 INR, Bus: 496 INR, Train: 1888 INR",Local Cuisine: 1447 INR per day,Homestay: 1166 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Boating, Trekking",Low,3.8/5,Summer,Assamese,Moderately Safe,No,Art Exhibitions
Manipur,Sunny,Medium,26537,"Bus: 864 INR, Train: 1911 INR",Local Cuisine: 1916 INR per day,Homestay: 2799 INR per night,"Kangla Fort, Loktak Lake","Boating, Cultural Tours",Low,4.3/5,Monsoon,Manipuri,Moderately Safe,No,Art Exhibitions
Meghalaya,Rainy,Low,36104,"Flight: 4682 INR, Train: 1810 INR, Bus: 984 INR, Car Rental: 2650 INR",Local Cuisine: 1327 INR per day,Homestay: 1329 INR per night,"Living Root Bridges, Cherrapunji","Trekking, Boating",Low,4.4/5,Summer,"Khasi, Garo",Very Safe,No,Festival
Arunachal Pradesh,Sunny,Low,47248,"Train: 1893 INR, Flight: 5570 INR",Local Cuisine: 1432 INR per day,Homestay: 1221 INR per night,"Ziro Valley, Tawang Monastery",Trekking,Low,4.8/5,Summer,"Hindi, English",Very Safe,Yes,Local Traditions
Assam,Rainy,Medium,11892,"Train: 1341 INR, Bus: 393 INR, Car Rental: 2120 INR, Flight: 6150 INR",Local Cuisine: 1497 INR per day,3-star: 3152 INR per night,"Majuli Island, Kaziranga National Park",Trekking,Moderate,4.4/5,Summer,Assamese,Safe for Solo Travelers,Yes,Art Exhibitions
Tripura,Sunny,High,49692,"Bus: 995 INR, Train: 599 INR, Car Rental: 2925 INR",Local Cuisine: 1736 INR per day,Luxury Resort: 1570 INR per night,"Ujjayanta Palace, Neermahal","Boating, Wildlife Safari, Trekking",Low,3.5/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Art Exhibitions
Arunachal Pradesh,Sunny,Low,42796,"Flight: 6651 INR, Car Rental: 1837 INR, Train: 1130 INR, Bus: 674 INR",Local Cuisine: 1342 INR per day,Homestay: 1488 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, River Rafting",Moderate,4.7/5,Monsoon,"Hindi, English",Moderately Safe,Yes,Local Traditions
Mizoram,Pleasant,Low,37333,"Car Rental: 2685 INR, Train: 1824 INR, Bus: 966 INR, Flight: 3782 INR",Local Cuisine: 1563 INR per day,Homestay: 3641 INR per night,"Vantawng Falls, Phawngpui National Park","Cultural Tours, River Rafting",Moderate,5.0/5,Winter,Mizo,Very Safe,Yes,Art Exhibitions
Nagaland,Sunny,High,37224,"Car Rental: 2487 INR, Flight: 4437 INR",Local Cuisine: 734 INR per day,3-star: 1194 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Cultural Tours",High,4.0/5,Winter,"English, Nagamese",Safe for Solo Travelers,No,Local Traditions
Meghalaya,Chilly,High,41528,"Car Rental: 2192 INR, Bus: 362 INR, Train: 1603 INR",Local Cuisine: 844 INR per day,Luxury Resort: 3430 INR per night,"Living Root Bridges, Cherrapunji",Cultural Tours,Moderate,3.6/5,Winter,"Khasi, Garo",Very Safe,Yes,Local Traditions
Mizoram,Rainy,Medium,20457,"Flight: 6635 INR, Car Rental: 1753 INR, Train: 632 INR",Local Cuisine: 1087 INR per day,Luxury Resort: 1213 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Wildlife Safari, Trekking",Moderate,4.9/5,Monsoon,Mizo,Very Safe,Yes,Local Traditions
Arunachal Pradesh,Pleasant,High,15719,"Bus: 237 INR, Car Rental: 1345 INR, Train: 1317 INR, Flight: 5066 INR",Local Cuisine: 1745 INR per day,Luxury Resort: 2427 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, Trekking, River Rafting",High,4.3/5,Winter,"Hindi, English",Moderately Safe,No,Art Exhibitions
Arunachal Pradesh,Chilly,Medium,11439,"Car Rental: 2121 INR, Bus: 629 INR, Flight: 5704 INR",Local Cuisine: 1722 INR per day,Homestay: 2366 INR per night,"Ziro Valley, Tawang Monastery","Boating, Cultural Tours",Moderate,4.3/5,Monsoon,"Hindi, English",Very Safe,No,Festival
Tripura,Sunny,Low,49257,"Bus: 639 INR, Flight: 5125 INR",Local Cuisine: 1755 INR per day,Homestay: 2307 INR per night,"Ujjayanta Palace, Neermahal","Trekking, Cultural Tours",Moderate,5.0/5,Summer,"Bengali, Kokborok",Moderately Safe,Yes,Festival
Manipur,Rainy,High,21256,"Train: 1100 INR, Flight: 3155 INR, Car Rental: 2630 INR, Bus: 207 INR",Local Cuisine: 1075 INR per day,Homestay: 3905 INR per night,"Kangla Fort, Loktak Lake","Trekking, Boating, River Rafting",Moderate,4.3/5,Summer,Manipuri,Very Safe,No,Festival
Manipur,Sunny,Low,44851,"Bus: 858 INR, Train: 1504 INR, Flight: 5159 INR, Car Rental: 2548 INR",Local Cuisine: 936 INR per day,Homestay: 1390 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, Wildlife Safari, Trekking",Low,4.1/5,Winter,Manipuri,Moderately Safe,Yes,Local Traditions
Tripura,Sunny,High,39209,"Car Rental: 2731 INR, Train: 1528 INR, Bus: 270 INR",Local Cuisine: 1890 INR per day,Homestay: 1806 INR per night,"Neermahal, Ujjayanta Palace","River Rafting, Wildlife Safari",Moderate,4.1/5,Summer,"Bengali, Kokborok",Moderately Safe,No,Festival
Tripura,Rainy,High,22681,"Car Rental: 1034 INR, Bus: 874 INR, Train: 622 INR",Local Cuisine: 1894 INR per day,3-star: 4166 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Wildlife Safari",High,3.7/5,Summer,"Bengali, Kokborok",Very Safe,No,Festival
Meghalaya,Sunny,Low,11452,"Flight: 3039 INR, Bus: 806 INR",Local Cuisine: 605 INR per day,Homestay: 1285 INR per night,"Living Root Bridges, Cherrapunji",River Rafting,High,3.6/5,Summer,"Khasi, Garo",Safe for Solo Travelers,Yes,Festival
Tripura,Pleasant,Low,46638,"Bus: 819 INR, Car Rental: 1734 INR, Train: 1610 INR, Flight: 3733 INR",Local Cuisine: 987 INR per day,Homestay: 2669 INR per night,"Neermahal, Ujjayanta Palace","Trekking, River Rafting",High,4.0/5,Monsoon,"Bengali, Kokborok",Moderately Safe,Yes,Art Exhibitions
Mizoram,Rainy,Low,13539,"Bus: 750 INR, Flight: 5742 INR, Car Rental: 1405 INR",Local Cuisine: 559 INR per day,Luxury Resort: 2913 INR per night,"Vantawng Falls, Phawngpui National Park",Cultural Tours,High,3.6/5,Summer,Mizo,Moderately Safe,Yes,Festival
Arunachal Pradesh,Chilly,High,41703,"Bus: 754 INR, Car Rental: 2664 INR, Flight: 4043 INR, Train: 1075 INR",Local Cuisine: 985 INR per day,Homestay: 1394 INR per night,"Ziro Valley, Tawang Monastery","Wildlife Safari, Boating, Cultural Tours",High,4.1/5,Summer,"Hindi, English",Very Safe,Yes,Festival
Nagaland,Chilly,High,12512,"Flight: 4775 INR, Car Rental: 2810 INR, Train: 1260 INR",Local Cuisine: 1436 INR per day,Homestay: 3819 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, River Rafting, Cultural Tours",High,3.5/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,No,Festival
Arunachal Pradesh,Chilly,High,19288,"Bus: 295 INR, Train: 736 INR, Car Rental: 1724 INR, Flight: 4213 INR",Local Cuisine: 1870 INR per day,3-star: 2799 INR per night,"Tawang Monastery, Ziro Valley","Boating, Trekking, River Rafting",Low,4.8/5,Summer,"Hindi, English",Moderately Safe,Yes,Festival
Meghalaya,Sunny,Medium,20685,"Flight: 3956 INR, Bus: 535 INR, Train: 1767 INR",Local Cuisine: 634 INR per day,3-star: 2285 INR per night,"Cherrapunji, Living Root Bridges","River Rafting, Trekking",High,3.8/5,Summer,"Khasi, Garo",Safe for Solo Travelers,No,Festival
Meghalaya,Rainy,Low,35677,"Train: 1382 INR, Bus: 977 INR",Local Cuisine: 1980 INR per day,3-star: 4034 INR per night,"Living Root Bridges, Cherrapunji",Trekking,Low,4.7/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Festival
Arunachal Pradesh,Sunny,Medium,33729,"Flight: 3261 INR, Car Rental: 2754 INR, Bus: 693 INR",Local Cuisine: 1594 INR per day,Luxury Resort: 1720 INR per night,"Ziro Valley, Tawang Monastery","Boating, River Rafting",Moderate,4.5/5,Winter,"Hindi, English",Moderately Safe,No,Art Exhibitions
Nagaland,Sunny,High,15861,"Train: 1930 INR, Car Rental: 2880 INR",Local Cuisine: 1180 INR per day,Homestay: 4054 INR per night,"Kohima War Cemetery, Dzükou Valley",Cultural Tours,Low,3.6/5,Summer,"English, Nagamese",Safe for Solo Travelers,No,Local Traditions
Arunachal Pradesh,Pleasant,Medium,42655,"Car Rental: 2427 INR, Train: 1544 INR, Flight: 5864 INR, Bus: 955 INR",Local Cuisine: 723 INR per day,3-star: 4930 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, Boating, Wildlife Safari",Moderate,5.0/5,Monsoon,"Hindi, English",Moderately Safe,No,Festival
Mizoram,Pleasant,Low,43625,"Car Rental: 1257 INR, Flight: 3177 INR",Local Cuisine: 1520 INR per day,Homestay: 2627 INR per night,"Phawngpui National Park, Vantawng Falls","Wildlife Safari, River Rafting, Boating",High,4.7/5,Winter,Mizo,Moderately Safe,No,Local Traditions
Arunachal Pradesh,Rainy,High,26043,"Flight: 4898 INR, Car Rental: 2003 INR",Local Cuisine: 534 INR per day,3-star: 2153 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Cultural Tours, Boating",Moderate,3.6/5,Summer,"Hindi, English",Very Safe,No,Art Exhibitions
Tripura,Chilly,High,35759,"Train: 918 INR, Car Rental: 2471 INR, Flight: 6630 INR, Bus: 504 INR",Local Cuisine: 545 INR per day,Homestay: 2603 INR per night,"Neermahal, Ujjayanta Palace","Trekking, River Rafting, Wildlife Safari",Low,4.9/5,Winter,"Bengali, Kokborok",Very Safe,No,Festival
Meghalaya,Chilly,High,22423,"Train: 1614 INR, Bus: 251 INR, Car Rental: 2347 INR, Flight: 3978 INR",Local Cuisine: 1020 INR per day,3-star: 2426 INR per night,"Cherrapunji, Living Root Bridges",Boating,High,4.4/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Art Exhibitions
Mizoram,Sunny,Medium,24316,"Train: 1493 INR, Flight: 5906 INR, Bus: 458 INR, Car Rental: 2784 INR",Local Cuisine: 1013 INR per day,Homestay: 3255 INR per night,"Phawngpui National Park, Vantawng Falls",Boating,Low,4.2/5,Summer,Mizo,Moderately Safe,Yes,Local Traditions
Manipur,Chilly,Medium,34396,"Bus: 790 INR, Train: 1383 INR",Local Cuisine: 1111 INR per day,3-star: 1434 INR per night,"Kangla Fort, Loktak Lake","Cultural Tours, River Rafting, Trekking",Moderate,4.7/5,Winter,Manipuri,Very Safe,Yes,Art Exhibitions
Mizoram,Pleasant,High,17944,"Car Rental: 2882 INR, Train: 903 INR, Flight: 6695 INR",Local Cuisine: 1186 INR per day,Homestay: 1312 INR per night,"Phawngpui National Park, Vantawng Falls","Boating, Wildlife Safari",High,4.6/5,Monsoon,Mizo,Very Safe,Yes,Art Exhibitions
Meghalaya,Pleasant,Medium,39485,"Train: 1506 INR, Bus: 353 INR",Local Cuisine: 687 INR per day,Homestay: 4299 INR per night,"Living Root Bridges, Cherrapunji","Cultural Tours, Trekking, Wildlife Safari",High,3.6/5,Summer,"Khasi, Garo",Moderately Safe,No,Festival
Manipur,Chilly,Low,26333,"Bus: 210 INR, Flight: 5832 INR",Local Cuisine: 847 INR per day,Luxury Resort: 1947 INR per night,"Kangla Fort, Loktak Lake","River Rafting, Wildlife Safari, Boating",Moderate,4.9/5,Summer,Manipuri,Safe for Solo Travelers,No,Festival
Mizoram,Pleasant,Medium,30005,"Train: 628 INR, Car Rental: 2196 INR, Bus: 353 INR",Local Cuisine: 1681 INR per day,Homestay: 3724 INR per night,"Phawngpui National Park, Vantawng Falls","Wildlife Safari, Trekking, Cultural Tours",Moderate,4.7/5,Winter,Mizo,Safe for Solo Travelers,No,Festival
Arunachal Pradesh,Sunny,Medium,13665,"Train: 1861 INR, Flight: 4688 INR, Car Rental: 2650 INR",Local Cuisine: 1924 INR per day,Homestay: 1036 INR per night,"Tawang Monastery, Ziro Valley","Trekking, Cultural Tours, Wildlife Safari",High,3.7/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Local Traditions
Mizoram,Sunny,High,32353,"Flight: 6061 INR, Bus: 622 INR, Car Rental: 1703 INR",Local Cuisine: 1000 INR per day,Luxury Resort: 1004 INR per night,"Phawngpui National Park, Vantawng Falls",Trekking,Moderate,4.1/5,Summer,Mizo,Safe for Solo Travelers,No,Art Exhibitions
Tripura,Sunny,Medium,26966,"Flight: 5590 INR, Bus: 872 INR, Train: 619 INR",Local Cuisine: 545 INR per day,3-star: 3544 INR per night,"Ujjayanta Palace, Neermahal","River Rafting, Boating, Wildlife Safari",High,3.9/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Festival
Tripura,Pleasant,Low,48589,"Bus: 344 INR, Train: 821 INR, Car Rental: 1975 INR",Local Cuisine: 1858 INR per day,Homestay: 4532 INR per night,"Neermahal, Ujjayanta Palace","Wildlife Safari, Boating",High,4.3/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Local Traditions
Tripura,Rainy,High,19980,"Flight: 5926 INR, Car Rental: 1875 INR, Train: 1351 INR, Bus: 940 INR",Local Cuisine: 1727 INR per day,Homestay: 2330 INR per night,"Neermahal, Ujjayanta Palace",Boating,Moderate,4.4/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Festival
Assam,Pleasant,High,17741,"Flight: 4849 INR, Train: 561 INR",Local Cuisine: 1651 INR per day,Luxury Resort: 3346 INR per night,"Kaziranga National Park, Majuli Island","Trekking, Wildlife Safari, Cultural Tours",Moderate,3.6/5,Winter,Assamese,Very Safe,No,Local Traditions
Arunachal Pradesh,Chilly,Low,8245,"Flight: 5066 INR, Car Rental: 2402 INR, Train: 658 INR",Local Cuisine: 1365 INR per day,3-star: 1634 INR per night,"Tawang Monastery, Ziro Valley",Wildlife Safari,High,4.4/5,Monsoon,"Hindi, English",Very Safe,Yes,Festival
Arunachal Pradesh,Chilly,High,44164,"Flight: 3350 INR, Train: 600 INR",Local Cuisine: 970 INR per day,Luxury Resort: 2547 INR per night,"Ziro Valley, Tawang Monastery",River Rafting,Low,4.1/5,Monsoon,"Hindi, English",Moderately Safe,No,Local Traditions
Meghalaya,Rainy,Medium,26689,"Train: 599 INR, Car Rental: 2609 INR, Flight: 3103 INR, Bus: 916 INR",Local Cuisine: 1643 INR per day,Homestay: 2347 INR per night,"Cherrapunji, Living Root Bridges",River Rafting,Moderate,4.0/5,Monsoon,"Khasi, Garo",Moderately Safe,Yes,Local Traditions
Manipur,Sunny,Low,33577,"Car Rental: 1959 INR, Bus: 616 INR, Train: 619 INR",Local Cuisine: 1659 INR per day,Homestay: 1156 INR per night,"Kangla Fort, Loktak Lake","Boating, Trekking, Wildlife Safari",High,4.2/5,Winter,Manipuri,Very Safe,No,Local Traditions
Assam,Rainy,Medium,45518,"Bus: 937 INR, Car Rental: 2729 INR",Local Cuisine: 1894 INR per day,3-star: 2324 INR per night,"Majuli Island, Kaziranga National Park","River Rafting, Wildlife Safari, Cultural Tours",Low,3.8/5,Monsoon,Assamese,Very Safe,Yes,Art Exhibitions
Nagaland,Rainy,Medium,28554,"Train: 1613 INR, Car Rental: 2362 INR, Bus: 754 INR",Local Cuisine: 1175 INR per day,Luxury Resort: 4791 INR per night,"Kohima War Cemetery, Dzükou Valley",Cultural Tours,Low,3.7/5,Winter,"English, Nagamese",Moderately Safe,Yes,Local Traditions
Nagaland,Pleasant,Medium,23149,"Bus: 436 INR, Train: 1132 INR, Car Rental: 2925 INR",Local Cuisine: 824 INR per day,Luxury Resort: 3465 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Trekking",High,4.0/5,Winter,"English, Nagamese",Very Safe,No,Art Exhibitions
Arunachal Pradesh,Sunny,Low,42152,"Train: 1721 INR, Flight: 5227 INR, Bus: 331 INR",Local Cuisine: 1969 INR per day,Homestay: 2835 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Boating",Low,3.9/5,Summer,"Hindi, English",Safe for Solo Travelers,Yes,Festival
Manipur,Rainy,Low,44775,"Car Rental: 1817 INR, Train: 1909 INR, Flight: 6495 INR",Local Cuisine: 1218 INR per day,Luxury Resort: 1970 INR per night,"Kangla Fort, Loktak Lake","Trekking, River Rafting, Wildlife Safari",Moderate,4.3/5,Summer,Manipuri,Safe for Solo Travelers,No,Art Exhibitions
Arunachal Pradesh,Pleasant,Low,40005,"Car Rental: 1946 INR, Bus: 271 INR, Train: 1466 INR",Local Cuisine: 962 INR per day,3-star: 3084 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Cultural Tours, Wildlife Safari",Moderate,4.0/5,Winter,"Hindi, English",Very Safe,No,Local Traditions
Assam,Rainy,Low,12295,"Bus: 760 INR, Train: 713 INR",Local Cuisine: 732 INR per day,3-star: 4344 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Trekking",High,4.2/5,Winter,Assamese,Safe for Solo Travelers,No,Art Exhibitions
Arunachal Pradesh,Rainy,High,41447,"Train: 848 INR, Flight: 3747 INR",Local Cuisine: 1267 INR per day,Luxury Resort: 3434 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Trekking, Cultural Tours",Moderate,4.3/5,Summer,"Hindi, English",Moderately Safe,Yes,Festival
Tripura,Chilly,Medium,24554,"Bus: 715 INR, Car Rental: 2104 INR",Local Cuisine: 1191 INR per day,Homestay: 3147 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Boating, Trekking",High,4.3/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Art Exhibitions
Mizoram,Sunny,Low,29882,"Bus: 917 INR, Train: 1543 INR",Local Cuisine: 657 INR per day,Homestay: 4034 INR per night,"Vantawng Falls, Phawngpui National Park","Cultural Tours, Wildlife Safari, River Rafting",Moderate,4.9/5,Summer,Mizo,Very Safe,No,Art Exhibitions
Tripura,Chilly,High,40815,"Car Rental: 2571 INR, Flight: 4763 INR, Bus: 368 INR, Train: 974 INR",Local Cuisine: 930 INR per day,3-star: 4303 INR per night,"Ujjayanta Palace, Neermahal","Trekking, Wildlife Safari",Moderate,3.6/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Festival
Manipur,Pleasant,Low,22202,"Car Rental: 1464 INR, Train: 567 INR, Flight: 5282 INR",Local Cuisine: 1789 INR per day,Luxury Resort: 1211 INR per night,"Loktak Lake, Kangla Fort","Boating, River Rafting",Moderate,4.4/5,Summer,Manipuri,Very Safe,No,Art Exhibitions
Assam,Rainy,Medium,48620,"Flight: 4602 INR, Bus: 608 INR, Train: 1640 INR, Car Rental: 2048 INR",Local Cuisine: 1347 INR per day,Luxury Resort: 4905 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Boating",Low,3.7/5,Monsoon,Assamese,Safe for Solo Travelers,No,Local Traditions
Assam,Rainy,High,22575,"Bus: 599 INR, Flight: 5731 INR, Train: 1741 INR, Car Rental: 1761 INR",Local Cuisine: 1897 INR per day,3-star: 4383 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Boating, Trekking",High,4.9/5,Monsoon,Assamese,Moderately Safe,Yes,Local Traditions
Arunachal Pradesh,Chilly,Medium,37718,"Bus: 835 INR, Car Rental: 2419 INR, Train: 1047 INR, Flight: 3207 INR",Local Cuisine: 1690 INR per day,3-star: 1469 INR per night,"Tawang Monastery, Ziro Valley","Boating, River Rafting",Low,3.6/5,Monsoon,"Hindi, English",Very Safe,Yes,Local Traditions
Manipur,Chilly,Low,31292,"Car Rental: 1701 INR, Train: 1586 INR",Local Cuisine: 1642 INR per day,3-star: 4334 INR per night,"Kangla Fort, Loktak Lake","River Rafting, Trekking",Low,4.5/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Festival
Meghalaya,Chilly,Low,10668,"Flight: 3771 INR, Car Rental: 2328 INR, Train: 1695 INR, Bus: 919 INR",Local Cuisine: 617 INR per day,Luxury Resort: 1390 INR per night,"Living Root Bridges, Cherrapunji",River Rafting,High,4.7/5,Summer,"Khasi, Garo",Moderately Safe,Yes,Festival
Mizoram,Sunny,High,42384,"Train: 1352 INR, Car Rental: 2399 INR, Flight: 4400 INR, Bus: 644 INR",Local Cuisine: 1368 INR per day,Luxury Resort: 1870 INR per night,"Phawngpui National Park, Vantawng Falls","Cultural Tours, Boating, Wildlife Safari",Low,4.3/5,Winter,Mizo,Very Safe,Yes,Festival
Assam,Sunny,Medium,11095,"Flight: 4726 INR, Train: 1314 INR",Local Cuisine: 1447 INR per day,3-star: 3943 INR per night,"Majuli Island, Kaziranga National Park","Boating, River Rafting",Low,4.0/5,Winter,Assamese,Moderately Safe,No,Festival
Assam,Pleasant,Medium,21235,"Bus: 458 INR, Train: 1258 INR",Local Cuisine: 1167 INR per day,Homestay: 4366 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Cultural Tours, Wildlife Safari",Low,4.3/5,Monsoon,Assamese,Safe for Solo Travelers,Yes,Festival
Arunachal Pradesh,Rainy,High,8898,"Train: 1695 INR, Bus: 541 INR",Local Cuisine: 1346 INR per day,Luxury Resort: 2311 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, River Rafting",Moderate,4.1/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Festival
